# x/r_s, F*M/(rho_s*r_s^3)
1.000000000000000082e-05 7.323535500454203154e-09
1.071766885445503435e-05 8.362368388653329290e-09
1.148684256737554795e-05 9.548265498478564181e-09
1.231121748203889624e-05 1.090186283927973834e-08
1.319475521676705910e-05 1.244700026922706040e-08
1.414170170289024019e-05 1.421055898589838444e-08
1.515660758900604291e-05 1.622340511345610851e-08
1.624435010958865489e-05 1.852079421546112875e-08
1.741015652304015246e-05 2.114242422160094279e-08
1.865962923181746036e-05 2.413428881237639775e-08
1.999877270535286910e-05 2.754887832928522776e-08
2.143402233514858770e-05 3.144437176719644841e-08
2.297227536071151343e-05 3.589025108268782917e-08
2.462092401494625450e-05 4.096238609425563310e-08
2.638789104828934555e-05 4.674934313056430290e-08
2.828166780230035161e-05 5.335209243870909126e-08
3.031135501567576034e-05 6.088458827333812097e-08
3.248670655878375073e-05 6.947812454293854539e-08
3.481817630688966499e-05 7.928001486709458216e-08
3.731696837732755809e-05 9.046238313357174160e-08
3.999509097203669263e-05 1.032161378313754340e-07
4.286541408420925384e-05 1.177614044332245841e-07
4.594173134636476128e-05 1.343513661545278608e-07
4.923882631706741526e-05 1.532713189151306229e-07
5.277254352483532347e-05 1.748476739572009740e-07
5.655986461065002122e-05 1.994513672172879441e-07
6.061898993497572295e-05 2.275063286890976434e-07
6.496942604146124583e-05 2.594970157036714950e-07
6.963207939763889495e-05 2.959667352470296259e-07
7.462935686310129138e-05 3.375514362624736690e-07
7.998527336796708482e-05 3.849540795249084773e-07
8.572556731909324328e-05 4.389855095458843092e-07
9.187782428863340426e-05 5.005802472896890225e-07
9.847160957933763601e-05 5.707840107191170169e-07
1.055386103036522926e-04 6.508002060467432853e-07
1.131127876593921339e-04 7.419910589648968559e-07
1.212305401337652864e-04 8.459128573900695478e-07
1.299308784200415917e-04 9.643442799834482674e-07
1.392556128874463273e-04 1.099274317069634908e-06
1.492495545051829070e-04 1.253016911491966421e-06
1.599607301861487752e-04 1.428201873129508858e-06
1.714406135851971895e-04 1.627733164070332448e-06
1.837443724610726800e-04 1.855053133956188562e-06
1.969311337907421727e-04 2.113972829525488667e-06
2.110642679101554697e-04 2.408887194248749706e-06
2.262116930469026423e-04 2.744761728327698456e-06
2.424462017082328286e-04 3.127265212298689354e-06
2.598458104929247036e-04 3.562875437578495931e-06
2.784941350080644140e-04 4.058811381121133857e-06
2.984807916924327501e-04 4.623570891946951970e-06
3.199018284775067438e-04 5.266461287104234353e-06
3.428601863556586678e-04 5.998226625201400649e-06
3.674661940736688058e-04 6.831287460935657123e-06
3.938380983288488940e-04 7.779411732869167824e-06
4.221026320156903168e-04 8.858479095643059846e-06
4.523956232538053576e-04 1.008654792156222700e-05
4.848626481239078079e-04 1.148376862871755822e-05
5.196597302486197180e-04 1.307363468730212120e-05
5.569540905800135630e-04 1.488242943121885187e-05
5.969249509970739288e-04 1.694005294831581011e-05
6.397643955748429784e-04 1.928091406058341691e-05
6.856782936641738196e-04 2.194265216726637896e-05
7.348872892180387728e-04 2.496987309144676023e-05
7.876278611187063428e-04 2.840835369997573076e-05
8.441534596012984729e-04 3.232926834904794721e-05
9.047357242349293423e-04 3.677738087038962656e-05
9.696657893145520669e-04 4.183512535122862569e-05
1.039255682936713037e-03 4.758521513672532826e-05
1.113839826482619470e-03 5.411315714582418720e-05
1.193776641714436922e-03 6.154707624148735175e-05
1.279450273207873327e-03 6.998791133976437449e-05
1.371272434398400917e-03 7.957274935543751375e-05
1.469684386112446017e-03 9.046369080661579968e-05
1.575159057091622900e-03 1.028346140081765493e-04
1.688203316700362649e-03 1.168845210376471920e-04
1.809360410738716568e-03 1.328406985802471521e-04
1.939212572065830958e-03 1.509490258974567807e-04
2.078383818579757417e-03 1.715150903370957550e-04
2.227542951999558502e-03 1.948312419188009557e-04
2.387406771860646915e-03 2.213505194907198234e-04
2.558743520168589233e-03 2.514202164117552984e-04
2.742376573264949328e-03 2.855230656138815532e-04
2.939188398646887333e-03 3.242258416286996551e-04
3.150124795755327757e-03 3.681218219363901600e-04
3.376199441111340030e-03 4.178998788546774601e-04
3.618498759642746650e-03 4.743543593762401030e-04
3.878187145610723519e-03 5.383366442752060381e-04
4.156512558225992568e-03 6.108810421481494128e-04
4.454812518844988509e-03 6.931059314855539041e-04
4.774520538566130907e-03 7.862713785903213725e-04
5.117173007114604946e-03 8.918292564753363188e-04
5.484416576121020452e-03 1.011380646844033289e-03
5.878016072274911547e-03 1.146778253760272768e-03
6.299862978380693125e-03 1.300095035823663290e-03
6.751984523072501049e-03 1.473648138413204437e-03
7.236553422869657429e-03 1.670140625214688911e-03
7.755898323389001994e-03 1.892385474124937345e-03
8.312514989890631284e-03 2.143889425149001892e-03
8.909078300934143019e-03 2.428347078571214176e-03
9.548455102782293924e-03 2.749974992554795380e-03
1.023371798632520188e-02 3.113594436486487923e-03
1.096816005273137939e-02 3.524559566743816832e-03
1.175531073878369887e-02 3.988998373263989705e-03
1.259895277795027198e-02 4.513540177946998196e-03
1.350314037869873585e-02 5.106098834905765937e-03
1.447221870741134328e-02 5.774908991368248382e-03
1.551084476952840560e-02 6.530026734016152953e-03
1.662400978926613718e-02 7.382106839541454843e-03
1.781706319545730763e-02 8.343216276040101020e-03
1.909573832878098607e-02 9.426890342036611109e-03
2.046617999391989878e-02 1.064877702529041723e-02
2.193497398905060181e-02 1.202571563002570627e-02
2.350917875457286810e-02 1.357687112562729233e-02
2.519635929317015979e-02 1.532391636461403160e-02
2.700462352420682222e-02 1.729013579523664204e-02
2.894266124716751709e-02 1.950256844687545815e-02
3.101978590138096750e-02 2.199190042278074617e-02
3.324597932270941664e-02 2.479106714269413772e-02
3.563193971228587748e-02 2.793680165767689627e-02
